EGGER_ID,decor_texture_code,interior_match_title,interior_match_text
F186_9,F186 ST9,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
F226_78,F226 ST78,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
F229_75,F229 ST75,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
F235_76,F235 ST76,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
F237_76,F237 ST76,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
F243_76,F243 ST76,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
F637_10,F637 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
F638_10,F638 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
F676_75,F676 ST75,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
F812_9,F812 ST9,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1133_10,H1133 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1145_10,H1145 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1176_37,H1176 ST37,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1180_37,H1180 ST37,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1225_12,H1225 ST12,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1242_10,H1242 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1307_19,H1307 ST19,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1318_10,H1318 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1344_32,H1344 ST32,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1346_32,H1346 ST32,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1357_10,H1357 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1362_12,H1362 ST12,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1367_40,H1367 ST40,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1384_40,H1384 ST40,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1385_40,H1385 ST40,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H1386_40,H1386 ST40,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H180_86,H180 ST86,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H2033_10,H2033 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
H3303_10,H3303 ST10,Interior Match: Created for harmonious designs,"With the Interior Match, you benefit from coordinated combination options for furniture and flooring. The decor package includes same-decor and colour-coordinated flooring as well as furniture and interior design products. This allows you to create coordinated modern designs."
